"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,     -0.7227191318,       1.785929006,      0.1335924231,       4.730834282,      -3.866820222
          0,           0,           1,     -0.3381412115,       2.196144936,       1.186034071,         5.1398061,      -4.357339536
          0,           0,           2,    -0.06094703145,       2.305286394,       2.623509634,       5.467783834,      -4.089542894
          0,           0,           3,     -0.2810556027,        2.07583969,       2.116777731,       5.148843413,      -4.554899901
          0,           0,           4,     -0.3543231895,       1.719051939,       1.939830006,       5.114518443,      -4.856078009
          0,           0,           5,     -0.1359528472,       1.918273035,       2.029752578,       5.019053514,      -5.049911729
          0,           0,           6,     -0.5266720938,       1.731689051,       1.812307848,       4.935242855,      -5.033794603
          0,           0,           7,     -0.2617358804,       2.023558964,       2.412966791,       5.445551296,      -4.909685915
          0,           0,           8,     -0.5579968975,       1.616448659,        1.76108629,       4.843603732,      -4.660110965
          0,           0,           9,     -0.5259489465,       1.848860031,       2.038866233,       4.984901176,      -4.989414542
          0,           0,          10,     -0.5379834188,       1.946180115,       1.902772042,       4.948822551,      -4.943684735
          0,           0,          11,     -0.5270023097,       2.049245361,       1.898031447,        4.96916011,      -4.962130529
          0,           0,          12,     -0.5262134008,       2.164044172,       1.829081822,       4.983911831,       -4.73839317
          0,           0,          13,     -0.5503250706,       2.198766558,       2.029926601,       5.158546479,      -4.841669923
          0,           0,          14,     -0.4788589222,       2.133135803,       1.946975978,       5.090177455,      -4.817232987
          0,           0,          15,     -0.4237692691,       2.227819632,       1.965019187,       5.065688253,      -4.682935058
          0,           0,          16,     -0.4878735063,       2.119266179,       1.915812029,       5.012044701,      -4.713936431
          0,           0,          17,     -0.5075082664,       2.113126212,       1.928747107,       5.009969148,      -4.598151058
          0,           0,          18,     -0.4610084022,       2.188172506,       1.946240554,       5.058463097,      -4.490747145
          0,           0,          19,      -0.298761095,       2.432098913,        1.95434768,       5.129633828,      -4.511342539
          0,           0,          20,     -0.3601963383,       2.309085586,       1.988964111,       5.119603165,      -4.170035918
          0,           0,          21,     -0.3524313901,       2.271944264,       2.003171509,       5.139113758,      -4.174849706
          0,           0,          22,     -0.3506170545,       2.289184169,       2.009719374,       5.154349665,      -4.189991239
          0,           0,          23,     -0.3436151927,       2.293775177,       2.015871587,       5.137979357,      -4.077891847
          0,           0,          24,      -0.240720461,       2.401659841,       2.018426947,       5.208674563,      -3.558874519
