"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -0.722719387,       1.785928741,      0.1335926574,       4.730834027,      -5.521444364
          0,           0,           1,      -1.149965941,       1.440872722,      0.1698862037,       4.345875184,      -5.726908591
          0,           0,           2,      -1.313578779,       1.155690053,     -0.1459898962,       4.148078101,      -6.065607508
          0,           0,           3,      -1.172835401,       1.398071819,     -0.3624631742,       4.317191418,      -5.755636497
          0,           0,           4,      -1.828798757,      0.6671639309,     -0.6819946275,       3.645198826,      -6.128009954
          0,           0,           5,      -2.198593921,      0.3639799994,     -0.7234952402,       3.292465038,      -5.919064639
          0,           0,           6,      -2.386031199,      0.1674444855,     -0.9190715849,       3.102564694,       -5.89822674
          0,           0,           7,      -3.088294792,     -0.5761627557,      -1.488681096,       2.385339745,      -6.069172757
          0,           0,           8,      -2.987534043,     -0.4120344699,      -1.667506863,       2.505595331,      -6.151412724
          0,           0,           9,      -3.755220938,      -1.110256376,      -2.075193421,       1.734395704,      -6.144302715
          0,           0,          10,      -3.681453994,      -1.204130274,      -2.111957233,       1.777117479,      -6.118874432
          0,           0,          11,      -3.515032758,     -0.9743103817,      -2.136481949,       1.959961216,      -6.126098804
          0,           0,          12,      -4.157879057,      -1.426010037,      -2.371329296,        1.32168411,      -6.113484464
          0,           0,          13,      -4.326056304,      -1.549786002,      -2.402407634,       1.155514618,      -6.088611595
          0,           0,          14,      -3.897946139,      -1.256619634,      -2.365528947,       1.609174016,      -6.082968148
          0,           0,          15,      -4.474854635,      -1.559142156,      -2.576038548,       1.036115797,      -6.072454577
          0,           0,          16,      -4.405648899,      -1.580951497,      -2.703445389,       1.071464633,      -6.051428949
          0,           0,          17,       -4.28425815,      -1.588064944,      -2.550759328,       1.170659267,      -6.044381512
          0,           0,          18,      -4.808485526,      -1.662294681,      -2.758992358,      0.6491024844,      -6.035292798
          0,           0,          19,      -4.690565183,      -1.658801826,      -2.891258125,        0.79822577,      -6.017101555
          0,           0,          20,       -4.41297874,      -1.609787486,      -2.662408882,       1.092228866,      -6.010362836
          0,           0,          21,      -4.905658347,      -1.697153349,      -2.877742713,      0.5912661096,      -6.002236311
          0,           0,          22,      -4.711119509,       -1.69233995,      -3.011918457,      0.7744745204,      -5.986025651
          0,           0,          23,      -4.548510462,      -1.687498656,      -2.766543316,      0.9354356604,      -5.979848932
          0,           0,          24,      -5.022204903,      -1.735537082,       -2.97132595,       0.456578585,      -5.972359986
          0,           0,          25,      -4.833668626,      -1.732989197,      -3.100239684,      0.6520938749,      -5.957620411
          0,           0,          26,      -4.631907742,      -1.722994417,      -2.845314842,      0.8616945586,      -5.951442008
          0,           0,          27,      -5.094233034,      -1.765777432,      -3.048341592,      0.3906361131,      -5.944427322
          0,           0,          28,      -4.908031501,      -1.765074364,      -3.172613627,      0.5771009138,      -5.936753348
          0,           0,          29,      -4.912358206,       -1.77269804,      -3.164190155,      0.5735420494,       -5.92354348
          0,           0,          30,      -4.751547115,      -1.773162829,       -2.91827964,      0.7389900995,      -5.917981963
          0,           0,          31,      -5.190437731,       -1.80183024,      -3.126094986,      0.2906387922,      -5.911567268
