"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.324898589208637e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.877116652467577e+05, 0.000000000000000e+00, 1.150846660987031e+05, 3.025973843541682e+02, 0.000000000000000e+00, 1.965896670667546e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.858180579016931e-05, 2.361369695287168e-03, 0.000000000000000e+00, -2.597947732440724e+02, 1.708010716658641e+01, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.323845399213200e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.873325977261738e+05, 0.000000000000000e+00, 1.149330390904695e+05, 3.024391197880846e+02, 0.000000000000000e+00, 1.492761649147427e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.857434757328796e-05, 1.843868492708168e-03, 0.000000000000000e+00, -1.376281224773337e+02, 1.509298829677612e+01, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.325651257688043e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876045039404821e+05, 0.000000000000000e+00, 1.150418015761928e+05, 3.023129361849760e+02, 0.000000000000000e+00, 1.832142750329745e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856839980728294e-05, 1.583165897025225e-03, 0.000000000000000e+00, -8.359454407512176e+01, 1.399937267622469e+01, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.325848568870176e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876083908159798e+05, 0.000000000000000e+00, 1.150433563263919e+05, 3.022720313859218e+02, 0.000000000000000e+00, 1.836994173420281e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856647146664487e-05, 1.456455171512407e-03, 0.000000000000000e+00, -7.066454168146920e+01, 1.342985565934192e+01, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.325984544925942e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876250021699368e+05, 0.000000000000000e+00, 1.150500008679747e+05, 3.022584907125925e+02, 0.000000000000000e+00, 1.857727717934518e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856583310199562e-05, 1.383206154135405e-03, 0.000000000000000e+00, -6.375647293531377e+01, 1.308890880229945e+01, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.326043607512690e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876316118884722e+05, 0.000000000000000e+00, 1.150526447553889e+05, 3.022519736732409e+02, 0.000000000000000e+00, 1.865977671179445e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856552585620590e-05, 1.334230176987458e-03, 0.000000000000000e+00, -5.932327971970272e+01, 1.285559625007075e+01, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.326076458372406e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876361465265711e+05, 0.000000000000000e+00, 1.150544586106284e+05, 3.022492510089264e+02, 0.000000000000000e+00, 1.871637602400086e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856539749525253e-05, 1.297219656773437e-03, 0.000000000000000e+00, -5.607157940024277e+01, 1.267628478097314e+01, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.326094943332740e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876390439486448e+05, 0.000000000000000e+00, 1.150556175794579e+05, 3.022480824180749e+02, 0.000000000000000e+00, 1.875254034251316e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856534240145858e-05, 1.267391781207571e-03, 0.000000000000000e+00, -5.351297815403390e+01, 1.252982443589669e+01, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.326105981308110e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876410424117423e+05, 0.000000000000000e+00, 1.150564169646969e+05, 3.022476665725484e+02, 0.000000000000000e+00, 1.877748425960723e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856532279619039e-05, 1.242488693854723e-03, 0.000000000000000e+00, -5.141968840627116e+01, 1.240617866936195e+01, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.326112570392962e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876424089956585e+05, 0.000000000000000e+00, 1.150569635982634e+05, 3.022476007608040e+02, 0.000000000000000e+00, 1.879454134509927e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856531969345795e-05, 1.221238190153715e-03, 0.000000000000000e+00, -4.966441065120656e+01, 1.229966119762756e+01, 0.000000000000000e+00
