"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.301175672,   0.0004284080917,      0.1335926574,       3.171471676,      -6.408026347
          0,           0,           1,      -2.331602091,     -0.4080249026,      0.1642282861,       3.150926879,      -6.388697188
          0,           0,           2,      -2.558883578,     -0.6636826455,     -0.1824449541,       2.924623731,      -6.235829301
          0,           0,           3,      -2.788290925,     -0.5292134816,     -0.4157035217,       2.694460235,      -6.259532284
          0,           0,           4,      -3.413460516,     -0.8320343772,     -0.7778346724,       2.080379301,       -6.24480928
          0,           0,           5,      -3.282885129,     -0.8712100683,     -0.8912506567,        2.20953475,      -6.248622255
          0,           0,           6,      -3.530443607,      -1.006926222,      -1.069025754,       1.961967771,      -6.198967199
          0,           0,           7,      -3.457101806,      -1.073117004,       -1.04868128,       2.023241937,      -6.213058674
          0,           0,           8,      -3.722921011,      -1.162007768,      -1.268617233,       1.757255934,      -6.177435659
          0,           0,           9,      -3.557486719,       -1.07584413,      -1.172147174,       1.925595662,      -6.184629465
          0,           0,          10,      -3.871373369,      -1.208245216,      -1.428774753,       1.599302374,      -6.157522074
          0,           0,          11,      -3.837493779,      -1.201194318,      -1.529463951,       1.647129756,      -6.159910588
          0,           0,          12,       -4.08076732,      -1.322929526,      -1.635594571,       1.378650666,      -6.138230817
          0,           0,          13,      -3.957854365,      -1.384390395,      -1.432597269,       1.523993568,      -6.137963058
          0,           0,          14,      -4.165852415,      -1.401843567,      -1.585405942,       1.317575899,      -6.120169465
          0,           0,          15,      -4.055797136,      -1.394337309,      -1.532980058,       1.438505171,      -6.118620159
          0,           0,          16,      -4.319423846,      -1.428130277,      -1.738020637,       1.178158878,      -6.103512822
          0,           0,          17,      -4.294029675,      -1.453213273,      -1.798039538,       1.193418941,      -6.101276061
          0,           0,          18,      -4.432891591,      -1.480056588,      -1.892336035,       1.041725534,      -6.088145095
          0,           0,          19,       -4.28774456,      -1.495048454,      -1.806591118,       1.188765571,      -6.085316756
          0,           0,          20,      -4.467019865,      -1.514910269,      -1.935049979,      0.9998400886,      -6.073668747
          0,           0,          21,      -4.375345383,      -1.516420516,      -1.935733411,       1.108381626,      -6.070351461
          0,           0,          22,      -4.588196773,      -1.544522947,        -2.0653757,      0.8779599909,      -6.059751756
          0,           0,          23,      -4.525718301,      -1.562833585,      -2.034201255,      0.9499197425,      -6.056260419
          0,           0,          24,      -4.678557531,      -1.578005426,      -2.113044602,      0.7828008449,       -6.04643443
          0,           0,          25,      -4.548375561,      -1.594330063,      -2.010287058,      0.9239899489,      -6.042983463
          0,           0,          26,      -4.723658573,      -1.602756164,      -2.124450606,      0.7424685414,      -6.033903533
          0,           0,          27,      -4.625885016,      -1.616160822,       -2.07898255,      0.8476079166,      -6.030344792
          0,           0,          28,      -4.796086119,      -1.625063824,      -2.187437055,       0.670473278,      -6.021981936
          0,           0,          29,      -4.717268054,      -1.639272661,      -2.156932797,      0.7519580381,       -6.01838132
          0,           0,          30,      -4.846993373,      -1.646471732,      -2.239565913,      0.6153316389,      -6.010486367
          0,           0,          31,      -4.748773751,      -1.658355252,      -2.190466838,       0.719445393,      -6.007028789
          0,           0,          32,      -4.873109127,      -1.665839168,      -2.264144347,       0.586542342,      -5.999543549
          0,           0,          33,      -4.760438949,      -1.676907308,      -2.199838224,      0.7049174731,      -5.995979624
          0,           0,          34,      -4.891286867,      -1.684448257,      -2.283052737,       0.566067605,      -5.988925217
          0,           0,          35,      -4.760017581,      -1.694354673,      -2.207353168,      0.7032372938,      -5.985391958
          0,           0,          36,      -4.909086099,      -1.701582148,      -2.310755984,      0.5478356908,      -5.978570335
          0,           0,          37,      -4.770404313,      -1.710029547,      -2.230690696,      0.6932680974,      -5.975180763
          0,           0,          38,      -4.926974032,      -1.717465807,      -2.339339308,      0.5312839133,       -5.96870975
          0,           0,          39,      -4.786615167,       -1.72568733,      -2.247238321,      0.6780726235,      -5.965211301
          0,           0,          40,      -4.933254297,      -1.732952559,      -2.348994526,      0.5269795276,      -5.959014758
          0,           0,          41,      -4.798632102,      -1.741244583,       -2.25017693,      0.6672367052,      -5.955715034
          0,           0,          42,      -4.936344974,       -1.74797147,      -2.351047793,      0.5251056541,      -5.949685824
          0,           0,          43,      -4.819108107,      -1.756246483,      -2.261134753,      0.6473880168,      -5.946343831
          0,           0,          44,      -4.950412258,      -1.762400371,      -2.363816568,       0.511127704,      -5.940615026
          0,           0,          45,      -4.853187599,      -1.770634146,      -2.284267279,       0.613751475,      -5.937323254
          0,           0,          46,      -4.973913365,      -1.776193478,       -2.38451532,      0.4876875363,       -5.93167318
          0,           0,          47,       -4.89022621,      -1.784502012,      -2.305707456,      0.5780598577,      -5.928492899
          0,           0,          48,       -4.99940668,      -1.789415413,      -2.403639615,       0.463003676,      -5.923108441
          0,           0,          49,      -4.918126773,      -1.797810242,      -2.318071829,      0.5520382206,       -5.91985125
          0,           0,          50,       -5.02465214,       -1.80216616,      -2.421267045,      0.4387163569,       -5.91455137
          0,           0,          51,      -4.933775928,      -1.810367729,      -2.328479031,      0.5373520744,      -5.911507813
          0,           0,          52,      -5.050005323,      -1.814358603,      -2.442805742,      0.4136918682,      -5.906398843
          0,           0,          53,      -4.941905947,      -1.822055745,      -2.345147831,      0.5288052777,      -5.903215462
          0,           0,          54,      -5.073218586,      -1.825977505,      -2.469494543,      0.3901628455,      -5.898217389
          0,           0,          55,      -4.949648509,      -1.833005751,      -2.370505534,      0.5197924011,      -5.895274305
          0,           0,          56,      -5.092367701,      -1.837022484,      -2.499455037,      0.3702891317,      -5.890396689
          0,           0,          57,      -4.964443557,      -1.843528127,      -2.404821232,        0.50339426,      -5.887301875
          0,           0,          58,      -5.110136904,      -1.847628665,      -2.532099175,      0.3513984048,      -5.882556638
          0,           0,          59,      -4.991898436,      -1.853829311,      -2.447461711,      0.4742153082,      -5.879700982
          0,           0,          60,      -5.130892557,      -1.857875154,      -2.567163635,      0.3290871984,      -5.875033891
          0,           0,          61,      -5.032435267,      -1.864049686,      -2.493503292,      0.4320595515,      -5.872029305
          0,           0,          62,      -5.156351848,      -1.867872335,      -2.601854676,      0.3018825064,      -5.867499768
          0,           0,          63,      -5.079662953,      -1.874134622,      -2.533199077,      0.3837717986,      -5.864732828
          0,           0,          64,       -5.18531727,      -1.877640627,      -2.632506906,      0.2713733228,      -5.860260777
          0,           0,          65,      -5.122072625,      -1.883997164,      -2.559656747,      0.3412902159,      -5.857339128
          0,           0,          66,      -5.215644861,      -1.887196995,      -2.658964423,      0.2398984645,      -5.852989665
          0,           0,          67,      -5.150203208,      -1.893482065,      -2.576916954,      0.3137378937,      -5.850314444
          0,           0,          68,      -5.245299937,      -1.896488977,      -2.685299145,      0.2092928774,      -5.846023064
          0,           0,          69,      -5.165004773,      -1.902553006,      -2.596050212,      0.2991195447,      -5.843178324
