"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.324731421397330e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876762718797364e+05, 0.000000000000000e+00, 1.150705087518945e+05, 3.025983398495718e+02, 0.000000000000000e+00, 1.921720262618833e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.858185081210470e-05, 2.362550398878564e-03, 0.000000000000000e+00, -2.597955339272967e+02, 1.708325750024835e+01, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.323688685316787e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.872997775466244e+05, 0.000000000000000e+00, 1.149199110186497e+05, 3.024403763105808e+02, 0.000000000000000e+00, 1.451796977910365e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.857440679440213e-05, 1.843847378440090e-03, 0.000000000000000e+00, -1.377091533280916e+02, 1.509196040455152e+01, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.325512405482105e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.875741155927544e+05, 0.000000000000000e+00, 1.150296462371017e+05, 3.023126587659411e+02, 0.000000000000000e+00, 1.794213382142357e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856838672957871e-05, 1.584087931468574e-03, 0.000000000000000e+00, -8.369429152995215e+01, 1.400272515813810e+01, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.325713068699397e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.875782974796225e+05, 0.000000000000000e+00, 1.150313189918490e+05, 3.022712955208265e+02, 0.000000000000000e+00, 1.799433025150244e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856643677520829e-05, 1.458678587978547e-03, 0.000000000000000e+00, -7.087908262852029e+01, 1.343944103486275e+01, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.325849465799456e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.875949600694244e+05, 0.000000000000000e+00, 1.150379840277697e+05, 3.022577114004902e+02, 0.000000000000000e+00, 1.820230519940490e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856579636150031e-05, 1.386294307395236e-03, 0.000000000000000e+00, -6.404001336554722e+01, 1.310287031925411e+01, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.325908484194406e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876015853038861e+05, 0.000000000000000e+00, 1.150406341215544e+05, 3.022512201120494e+02, 0.000000000000000e+00, 1.828499839466398e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856549032935863e-05, 1.337747326810857e-03, 0.000000000000000e+00, -5.963518388193287e+01, 1.287189810987799e+01, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.325941432840323e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876061677733493e+05, 0.000000000000000e+00, 1.150424671093397e+05, 3.022485251650830e+02, 0.000000000000000e+00, 1.834219471643707e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856536327499759e-05, 1.300910535063911e-03, 0.000000000000000e+00, -5.638996486809810e+01, 1.269368248876651e+01, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.325960121520562e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876091292233152e+05, 0.000000000000000e+00, 1.150436516893261e+05, 3.022473773148814e+02, 0.000000000000000e+00, 1.837915820228724e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856530915896934e-05, 1.271139621734021e-03, 0.000000000000000e+00, -5.382890963346598e+01, 1.254772147886355e+01, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.325971397037368e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876111954197125e+05, 0.000000000000000e+00, 1.150444781678850e+05, 3.022469784669149e+02, 0.000000000000000e+00, 1.840494753594965e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856529035503941e-05, 1.246246480704863e-03, 0.000000000000000e+00, -5.173028569382021e+01, 1.242431635151744e+01, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.325978220976028e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876126276329327e+05, 0.000000000000000e+00, 1.150450510531731e+05, 3.022469280873772e+02, 0.000000000000000e+00, 1.842282377688268e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856528797986462e-05, 1.224987448707368e-03, 0.000000000000000e+00, -4.996905642236358e+01, 1.231792402419349e+01, 0.000000000000000e+00
