"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.301175673,   0.0004284062498,      0.1335926565,       3.171471675,      -6.408026315
          0,           0,           1,      -2.331602028,     -0.4080248633,      0.1642283124,       3.150926942,      -6.388697191
          0,           0,           2,      -2.558883562,     -0.6636825758,     -0.1824449029,       2.924623747,      -6.235829357
          0,           0,           3,      -2.788290918,     -0.5292134698,     -0.4157035103,       2.694460241,      -6.259532385
          0,           0,           4,      -3.413460501,     -0.8320343802,     -0.7778346058,       2.080379316,      -6.244809363
          0,           0,           5,      -3.282885114,     -0.8712100764,     -0.8912506279,       2.209534765,      -6.248622334
          0,           0,           6,      -3.530443601,      -1.006926238,      -1.069025723,       1.961967778,      -6.198967262
          0,           0,           7,      -3.457101814,      -1.073117022,      -1.048681277,       2.023241929,       -6.21305874
          0,           0,           8,      -3.722921018,      -1.162007788,      -1.268617231,       1.757255927,       -6.17743572
          0,           0,           9,      -3.557486727,       -1.07584414,      -1.172147176,       1.925595655,      -6.184629525
          0,           0,          10,      -3.871373375,      -1.208245231,      -1.428774751,       1.599302367,      -6.157522132
          0,           0,          11,      -3.837493793,      -1.201194331,      -1.529463959,       1.647129742,      -6.159910645
          0,           0,          12,      -4.080767334,      -1.322929547,      -1.635594581,        1.37865065,      -6.138230873
          0,           0,          13,      -3.957854376,      -1.384390419,      -1.432597274,       1.523993556,      -6.137963114
          0,           0,          14,      -4.165852427,      -1.401843591,      -1.585405947,       1.317575887,       -6.12016952
          0,           0,          15,      -4.055797142,      -1.394337328,      -1.532980061,       1.438505165,      -6.118620214
          0,           0,          16,      -4.319423856,      -1.428130298,      -1.738020641,       1.178158869,      -6.103512877
          0,           0,          17,      -4.294029691,      -1.453213294,      -1.798039546,       1.193418925,      -6.101276117
          0,           0,          18,      -4.432891605,      -1.480056611,      -1.892336046,       1.041725518,       -6.08814515
          0,           0,          19,      -4.287744574,      -1.495048477,      -1.806591131,       1.188765555,      -6.085316812
          0,           0,          20,      -4.467019881,      -1.514910293,      -1.935049995,      0.9998400703,      -6.073668804
          0,           0,          21,      -4.375345398,      -1.516420538,      -1.935733427,        1.10838161,      -6.070351518
          0,           0,          22,      -4.588196791,      -1.544522971,      -2.065375716,      0.8779599713,      -6.059751813
          0,           0,          23,      -4.525718316,      -1.562833609,      -2.034201255,      0.9499197261,      -6.056260478
          0,           0,          24,      -4.678557544,      -1.578005451,      -2.113044603,      0.7828008297,      -6.046434488
          0,           0,          25,      -4.548375567,      -1.594330089,      -2.010287047,      0.9239899418,      -6.042983523
          0,           0,          26,      -4.723658585,       -1.60275619,      -2.124450604,      0.7424685276,      -6.033903593
          0,           0,          27,      -4.625885023,      -1.616160848,      -2.078982538,      0.8476079089,      -6.030344852
          0,           0,          28,      -4.796086137,      -1.625063851,      -2.187437056,      0.6704732573,      -6.021981997
          0,           0,          29,      -4.717268066,      -1.639272688,      -2.156932791,      0.7519580248,      -6.018381382
          0,           0,          30,      -4.846993394,      -1.646471759,      -2.239565918,      0.6153316155,      -6.010486428
          0,           0,          31,      -4.748773758,       -1.65835528,       -2.19046683,      0.7194453849,      -6.007028852
          0,           0,          32,      -4.873109143,      -1.665839196,       -2.26414435,      0.5865423242,      -5.999543613
          0,           0,          33,      -4.760438944,      -1.676907337,      -2.199838209,      0.7049174773,      -5.995979688
          0,           0,          34,      -4.891286876,      -1.684448286,      -2.283052736,      0.5660675947,      -5.988925281
          0,           0,          35,      -4.760017566,      -1.694354702,      -2.207353148,      0.7032373078,      -5.985392023
          0,           0,          36,      -4.909086101,      -1.701582178,      -2.310755979,      0.5478356871,        -5.9785704
          0,           0,          37,      -4.770404295,      -1.710029576,      -2.230690677,      0.6932681146,      -5.975180829
