"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.324731421961830e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876762719157751e+05, 0.000000000000000e+00, 1.150705087663100e+05, 3.025983397585355e+02, 0.000000000000000e+00, 1.921720307600705e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.858185080781517e-05, 2.362551885690422e-03, 0.000000000000000e+00, -2.597956398358164e+02, 1.708324901072699e+01, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.323688686082918e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.872997777216008e+05, 0.000000000000000e+00, 1.149199110886403e+05, 3.024403763197305e+02, 0.000000000000000e+00, 1.451797196308140e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.857440679483337e-05, 1.843847838657238e-03, 0.000000000000000e+00, -1.377091879727751e+02, 1.509195896210761e+01, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.325512405663184e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.875741156168735e+05, 0.000000000000000e+00, 1.150296462467494e+05, 3.023126587499972e+02, 0.000000000000000e+00, 1.794213412246788e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856838672882710e-05, 1.584088090447615e-03, 0.000000000000000e+00, -8.369430325676426e+01, 1.400272504767558e+01, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.325713068813318e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.875782974956985e+05, 0.000000000000000e+00, 1.150313189982794e+05, 3.022712955117491e+02, 0.000000000000000e+00, 1.799433045215596e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856643677478034e-05, 1.458678554322119e-03, 0.000000000000000e+00, -7.087908688661055e+01, 1.343944225677494e+01, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.325849465860004e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.875949600754654e+05, 0.000000000000000e+00, 1.150379840301862e+05, 3.022577113930362e+02, 0.000000000000000e+00, 1.820230527480652e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856579636114889e-05, 1.386294171595814e-03, 0.000000000000000e+00, -6.404001185520535e+01, 1.310287185494321e+01, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.325908484213821e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876015853058071e+05, 0.000000000000000e+00, 1.150406341223228e+05, 3.022512201096425e+02, 0.000000000000000e+00, 1.828499841864193e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856549032924515e-05, 1.337747108751060e-03, 0.000000000000000e+00, -5.963517879660556e+01, 1.287190003957173e+01, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.325941432821165e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876061677709665e+05, 0.000000000000000e+00, 1.150424671083866e+05, 3.022485251669460e+02, 0.000000000000000e+00, 1.834219468669553e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856536327508542e-05, 1.300910263767953e-03, 0.000000000000000e+00, -5.638995720749104e+01, 1.269368459224553e+01, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.325960121488307e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876091292196267e+05, 0.000000000000000e+00, 1.150436516878507e+05, 3.022473773183576e+02, 0.000000000000000e+00, 1.837915815624936e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856530915913323e-05, 1.271139320980728e-03, 0.000000000000000e+00, -5.382890019932931e+01, 1.254772358034623e+01, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.325971396994879e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876111954152323e+05, 0.000000000000000e+00, 1.150444781660929e+05, 3.022469784718917e+02, 0.000000000000000e+00, 1.840494748002972e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856529035527405e-05, 1.246246161717835e-03, 0.000000000000000e+00, -5.173027525068690e+01, 1.242431845235161e+01, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.325978220921870e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876126276273204e+05, 0.000000000000000e+00, 1.150450510509281e+05, 3.022469280938243e+02, 0.000000000000000e+00, 1.842282370683236e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856528798016857e-05, 1.224987121943848e-03, 0.000000000000000e+00, -4.996904546138651e+01, 1.231792608558749e+01, 0.000000000000000e+00
