"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.324706530253987e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.877219923463746e+05, 0.000000000000000e+00, 1.150887969385498e+05, 3.026521185898077e+02, 0.000000000000000e+00, 1.978786491699720e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.858438469779394e-05, 1.388545361261090e-02, 0.000000000000000e+00, -1.292034496512375e+02, 8.281840836641414e-01, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.325650750437821e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876484805768641e+05, 0.000000000000000e+00, 1.150593922307456e+05, 3.023592775336556e+02, 0.000000000000000e+00, 1.887032408955477e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.857058428485335e-05, 4.752300056265240e-03, 0.000000000000000e+00, -1.788647037475443e+01, 4.850383879670984e-01, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.326477243672481e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876785739732286e+05, 0.000000000000000e+00, 1.150714295892914e+05, 3.022024980963560e+02, 0.000000000000000e+00, 1.924593632123831e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856319322497419e-05, 4.560851007354744e-03, 0.000000000000000e+00, -1.147726868179080e+01, 4.755052882502828e-01, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.326746551749074e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876785842629703e+05, 0.000000000000000e+00, 1.150714337051881e+05, 3.021411666874363e+02, 0.000000000000000e+00, 1.924606475316386e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856030136675934e-05, 4.653771323472374e-03, 0.000000000000000e+00, -1.194892767341813e+01, 4.804483118697901e-01, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.326826628670952e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876799955470655e+05, 0.000000000000000e+00, 1.150719982188261e+05, 3.021244139444121e+02, 0.000000000000000e+00, 1.926367976617537e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.855951140266788e-05, 4.651051867332368e-03, 0.000000000000000e+00, -1.193536701212549e+01, 4.803428539325160e-01, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.326836655599260e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876793510995110e+05, 0.000000000000000e+00, 1.150717404398044e+05, 3.021214539846545e+02, 0.000000000000000e+00, 1.925563606179692e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.855937182557765e-05, 4.594972969243163e-03, 0.000000000000000e+00, -1.164945598769616e+01, 4.774436595881442e-01, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.326829416489062e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876783955944437e+05, 0.000000000000000e+00, 1.150713582377774e+05, 3.021220988642305e+02, 0.000000000000000e+00, 1.924370987751376e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.855940223497181e-05, 4.524209161625701e-03, 0.000000000000000e+00, -1.129345816747517e+01, 4.737509468495978e-01, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.326817605420280e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876772737570786e+05, 0.000000000000000e+00, 1.150709095028314e+05, 3.021236101227462e+02, 0.000000000000000e+00, 1.922970760833859e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.855947349847217e-05, 4.455058991317334e-03, 0.000000000000000e+00, -1.095085246264901e+01, 4.701125904332148e-01, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.326804484021006e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876761346898283e+05, 0.000000000000000e+00, 1.150704538759313e+05, 3.021254016867157e+02, 0.000000000000000e+00, 1.921549028348921e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.855955797957048e-05, 4.391053438265359e-03, 0.000000000000000e+00, -1.063841373275610e+01, 4.667189017659958e-01, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.326791084498288e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876750134935597e+05, 0.000000000000000e+00, 1.150700053974238e+05, 3.021272753871507e+02, 0.000000000000000e+00, 1.920149601619234e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.855964633354781e-05, 4.331998824107889e-03, 0.000000000000000e+00, -1.035414544019400e+01, 4.635653145388129e-01, 0.000000000000000e+00
